Height (in cms),Weight (in kgs),Handedness index
171,65,-13
183,79,-6
150,52,-7
159,66,-5
170,60,-14
155,50,-9
172,48,-12
165,55,-9
155,45,-1
184,67,-12
160,49,-5
183,75,-14
158,62,-14
163,50,-5
178,71,-10
176,55,1
182,70,-14
159,53,-7
176,60,-7
170,65,-5
177,79,-11
160,53,-14
175,62,-7
184,70,-7
181,76,-4
182,80,7
167,70,-10
181,68,-7
175,98,-5
196,51,-5
175,64,-6
150,50,-6
170,62,-9
178,70,-7
171,66,-10
161,48,5
180,75,-7
180,69,-5
182,84,-6
177,75,-14
177,63,-8
182,90,-8
167,75,-14
171,85,-7
183,78,-9
175,53,-10
182,80,5
168,55,-9
178,65,-7
180,76,1
174,65,-7
181,75,-14
179,70,-7
171,90,-7
165,50,-9
165,67,-7
186,68,-5
167,66,-9
181,85,5
178,62,-7
178,80,-5
152,45,-7
167,54,-7
153,65,-14
168,93,-4
177,69,-6
167,55,-7
174,78,-14
160,45,-7
176,76,-1
177,82,-9
182,70,-11
165,52,-3
174,62,-7
170,67,-7
170,65,-9
178,72,10
159,50,-7
163,65,-6
174,73,-12
186,72,-5
168,58,-12
164,50,-14
165,71,-10
180,60,-10
182,89,-9
168,58,-9
160,65,-6
163,56,-9
165,60,-5
161,65,-10
160,60,-12
155,57,-7
183,77,-1
178,72,-3
